"day","cases"
1,1
2,1
3,1
4,0
5,0
6,1
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,1
46,1
47,1
48,2
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,3
57,1
58,0
59,2
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,2
101,0
102,0
103,1
104,2
105,1
106,1
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,1
115,0
116,0
117,1
118,2
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,0
129,1
130,0
131,0
132,1
133,1
134,0
135,0
136,1
137,1
138,0
139,2
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,2
150,0
151,0
152,0
153,0
154,2
155,0
156,0
157,0
158,0
159,0
160,1
161,1
162,0
163,1
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,1
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,2
196,0
197,1
198,1
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,3
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,1
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,0
300,1
301,0
302,2
303,0
304,1
305,0
306,0
307,1
308,1
309,2
310,0
311,0
312,0
313,1
314,0
315,2
316,1
317,1
318,0
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,0
335,0
336,0
337,3
338,1
339,2
340,0
341,1
342,0
343,0
344,1
345,2
346,0
347,1
348,1
349,0
350,0
351,1
352,0
353,0
354,1
355,1
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,3
364,2
365,2
366,0
367,0
368,0
369,1
370,2
371,0
372,1
373,2
374,0
375,0
376,0
377,1
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,1
386,0
387,0
388,1
389,0
390,0
391,1
392,1
393,1
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,0
402,5
403,1
404,1
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,1
413,0
414,0
415,1
416,0
417,0
418,0
419,1
420,0
421,0
422,0
423,2
424,0
425,1
426,1
427,0
428,0
429,1
430,0
431,0
432,0
433,1
434,0
435,1
436,1
437,1
438,0
439,1
440,0
441,0
442,0
443,0
444,2
445,0
446,1
447,0
448,1
449,1
450,1
451,1
452,4
453,2
454,1
455,2
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,1
468,1
469,1
470,1
471,3
472,1
473,1
474,0
475,0
476,0
477,1
478,1
479,3
480,0
481,1
482,1
483,0
484,0
485,0
486,0
487,0
488,1
489,3
490,0
491,0
492,1
493,0
494,1
495,0
496,1
497,1
498,3
499,0
500,0
501,0
502,0
503,3
504,0
505,0
506,2
507,0
508,1
509,1
510,1
511,1
512,0
513,1
514,0
515,0
516,0
517,1
518,1
519,1
520,1
521,2
522,3
523,0
524,0
525,1
526,2
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,1
535,1
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,2
550,0
551,0
552,0
553,0
554,0
555,1
556,1
557,1
558,2
559,1
560,0
561,0
562,0
563,0
564,1
565,2
566,1
567,0
568,1
569,0
570,1
571,0
572,1
573,0
574,1
575,0
576,2
577,0
578,0
579,1
580,0
581,0
582,0
583,1
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
