"weeks","cases"
"2002-12-30",3
"2003-01-06",4
"2003-01-13",2
"2003-01-20",0
"2003-01-27",1
"2003-02-03",2
"2003-02-10",6
"2003-02-17",3
"2003-02-24",6
"2003-03-03",0
"2003-03-10",1
"2003-03-17",2
"2003-03-24",3
"2003-03-31",2
"2003-04-07",4
"2003-04-14",5
"2003-04-21",2
"2003-04-28",2
"2003-05-05",2
"2003-05-12",4
"2003-05-19",3
"2003-05-26",2
"2003-06-02",2
"2003-06-09",4
"2003-06-16",0
"2003-06-23",3
"2003-06-30",1
"2003-07-07",0
"2003-07-14",5
"2003-07-21",1
"2003-07-28",0
"2003-08-04",1
"2003-08-11",3
"2003-08-18",1
"2003-08-25",0
"2003-09-01",2
"2003-09-08",0
"2003-09-15",0
"2003-09-22",3
"2003-09-29",1
"2003-10-06",1
"2003-10-13",0
"2003-10-20",2
"2003-10-27",4
"2003-11-03",5
"2003-11-10",4
"2003-11-17",5
"2003-11-24",2
"2003-12-01",7
"2003-12-08",5
"2003-12-15",3
"2003-12-22",1
"2003-12-29",8
"2004-01-05",5
"2004-01-12",2
"2004-01-19",2
"2004-01-26",3
"2004-02-02",8
"2004-02-09",1
"2004-02-16",2
"2004-02-23",4
"2004-03-01",2
"2004-03-08",5
"2004-03-15",3
"2004-03-22",10
"2004-03-29",4
"2004-04-05",2
"2004-04-12",8
"2004-04-19",6
"2004-04-26",2
"2004-05-03",5
"2004-05-10",5
"2004-05-17",7
"2004-05-24",3
"2004-05-31",9
"2004-06-07",4
"2004-06-14",2
"2004-06-21",0
"2004-06-28",2
"2004-07-05",5
"2004-07-12",4
"2004-07-19",4
"2004-07-26",4
"2004-08-02",1
"2004-08-09",0
"2004-08-16",0
"2004-08-23",0
"2004-08-30",2
"2004-09-06",1
"2004-09-13",1
"2004-09-20",1
"2004-09-27",1
"2004-10-04",2
"2004-10-11",3
"2004-10-18",4
"2004-10-25",4
"2004-11-01",3
"2004-11-08",4
"2004-11-15",4
"2004-11-22",5
"2004-11-29",6
"2004-12-06",11
"2004-12-13",8
"2004-12-20",13
"2004-12-27",14
"2005-01-03",14
"2005-01-10",9
"2005-01-17",3
"2005-01-24",0
"2005-01-31",13
"2005-02-07",18
"2005-02-14",18
"2005-02-21",8
"2005-02-28",13
"2005-03-07",16
"2005-03-14",16
"2005-03-21",28
"2005-03-28",14
"2005-04-04",9
"2005-04-11",5
"2005-04-18",6
"2005-04-25",13
"2005-05-02",13
"2005-05-09",11
"2005-05-16",12
"2005-05-23",10
"2005-05-30",9
"2005-06-06",7
"2005-06-13",10
"2005-06-20",7
"2005-06-27",8
"2005-07-04",3
"2005-07-11",4
"2005-07-18",4
"2005-07-25",7
"2005-08-01",7
"2005-08-08",2
"2005-08-15",3
"2005-08-22",8
"2005-08-29",8
"2005-09-05",6
"2005-09-12",0
"2005-09-19",4
"2005-09-26",3
"2005-10-03",4
"2005-10-10",10
"2005-10-17",8
"2005-10-24",4
"2005-10-31",10
"2005-11-07",7
"2005-11-14",3
"2005-11-21",10
"2005-11-28",11
"2005-12-05",11
"2005-12-12",20
"2005-12-19",12
"2005-12-26",28
"2006-01-02",22
"2006-01-09",20
"2006-01-16",8
"2006-01-23",10
"2006-01-30",19
"2006-02-06",19
"2006-02-13",23
"2006-02-20",27
"2006-02-27",10
"2006-03-06",15
"2006-03-13",12
"2006-03-20",23
"2006-03-27",17
"2006-04-03",14
"2006-04-10",10
"2006-04-17",18
"2006-04-24",5
"2006-05-01",7
"2006-05-08",16
"2006-05-15",14
"2006-05-22",22
"2006-05-29",15
"2006-06-05",13
"2006-06-12",9
"2006-06-19",1
"2006-06-26",14
"2006-07-03",3
"2006-07-10",4
"2006-07-17",10
"2006-07-24",10
"2006-07-31",2
"2006-08-07",6
"2006-08-14",1
"2006-08-21",3
"2006-08-28",4
"2006-09-04",1
"2006-09-11",1
"2006-09-18",5
"2006-09-25",4
"2006-10-02",4
"2006-10-09",4
"2006-10-16",8
"2006-10-23",4
"2006-10-30",6
"2006-11-06",5
"2006-11-13",6
"2006-11-20",6
"2006-11-27",3
"2006-12-04",12
